Country,ISO3,Military_Change_%,Investment_Direction,GPI_Change,Peace_Outcome,Terrorism_Fatalities_Per_Million_Change,Terrorism_Outcome,Security_Profile,Military_Expenditure_USD_Millions_2020,GPI_Score_2020,Terrorism_Fatalities_Per_Million_2020,Military_Expenditure_USD_Millions_2025,GPI_Score_2025,Terrorism_Fatalities_Per_Million_2025
Eswatini,SWZ,7.535287658862905,Relatively Stable,0.16900000000000026,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,81.9379152575612,1.954,0.0,88.11217287389375,2.123,0.0
Ethiopia,ETH,53.89507524092172,Significant Increase,0.24700000000000033,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,510.3762335580914,2.421,0.0,785.4438886460072,2.668,0.0
Finland,FIN,75.44343008757967,Significant Increase,0.03499999999999992,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,4339.932712964029,1.445,0.0,7614.126815117045,1.48,0.0
France,FRA,11.157876571151345,Significant Increase,-0.019000000000000128,Improved,-0.04534166332715669,Improved,Improved Peace / Improved Terrorism,58039.15168387494,2.092,0.10354859557779451,64515.08859170501,2.073,0.058206932250637826
Gabon,GAB,21.96444715909594,Significant Increase,0.053999999999999826,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,276.2331788415995,2.164,0.0,336.9062694441536,2.218,0.0
"Gambia, The",GMB,-16.734963123379636,Significant Decrease,-0.2140000000000002,Improved,0.0,Stable,Improved Peace / Stable Terrorism,17.59895143846412,2.055,0.0,14.65377340513566,1.841,0.0
Georgia,GEO,53.40410872486005,Significant Increase,0.08499999999999974,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,415.3803007400626,1.961,0.0,637.2104481689363,2.046,0.0
Germany,DEU,76.64683891389859,Significant Increase,-0.028999999999999915,Improved,-0.06040992794278177,Improved,Improved Peace / Improved Terrorism,60418.43086247143,1.621,0.13227374686828378,106727.2482399351,1.592,0.071863818925502
Ghana,GHA,62.154368588213316,Significant Increase,0.07400000000000007,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,237.5260140360066,1.835,0.0,385.1588082928374,1.909,0.0
Greece,GRC,20.692469801471525,Significant Increase,0.006000000000000005,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,6467.879453239349,1.812,0.0,7806.243455896482,1.818,0.0
Guatemala,GTM,48.4324292937694,Significant Increase,-0.050000000000000044,Improved,0.0,Stable,Improved Peace / Stable Terrorism,415.3173428907692,2.008,0.0,616.4656213311029,1.958,0.0
Guinea,GIN,74.66884220301816,Significant Increase,0.16199999999999992,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,335.5829498747118,2.057,0.0,586.1588531768939,2.219,0.0
Guinea-Bissau,GNB,-26.065369767593626,Significant Decrease,0.09699999999999975,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,28.43426921016201,1.937,0.0,21.02277179982026,2.034,0.0
Guyana,GUY,165.04523600634283,Significant Increase,0.10899999999999976,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,90.49621550313425,1.913,0.0,239.8559079570908,2.022,0.0
Haiti,HTI,-1.356270477015352,Relatively Stable,0.6159999999999997,Deteriorated,0.0,Stable,Deteriorated Peace / Stable Terrorism,30.83367912080837,2.059,0.0,30.4154910339152,2.675,0.0
Honduras,HND,34.74219597716364,Significant Increase,-0.09200000000000008,Improved,0.0,Stable,Improved Peace / Stable Terrorism,431.7856174784199,2.21,0.0,581.7974229039787,2.118,0.0
Hungary,HUN,35.49941154385217,Significant Increase,-0.020999999999999908,Improved,0.0,Stable,Improved Peace / Stable Terrorism,3410.329672206024,1.547,0.0,4620.976637544545,1.526,0.0
Iceland,ISL,,Relatively Stable,-0.010000000000000009,Improved,0.0,Stable,Improved Peace / Stable Terrorism,0.0,1.195,0.0,0.0,1.185,0.0
India,IND,16.263553609754926,Significant Increase,-0.23100000000000032,Improved,-0.05431556976237398,Improved,Improved Peace / Improved Terrorism,80209.72591691159,2.571,0.12262785548274437,93254.677691646,2.34,0.06831228572037039
Indonesia,IDN,58.395207406707996,Significant Increase,0.0040000000000000036,Deteriorated,0.03669338326609974,Deteriorated,Deteriorated Peace / Deteriorated Terrorism,9678.012538730474,1.868,0.04730457339960641,15329.50803356934,1.872,0.08399795666570616
Iran,IRN,13.952740704829964,Significant Increase,-0.05900000000000016,Improved,-0.018926735313825382,Improved,Improved Peace / Improved Terrorism,6538.194436209043,2.712,0.15959245922438314,7450.45175267091,2.653,0.14066572391055776
Iraq,IRQ,20.639120699258363,Significant Increase,-0.32699999999999996,Improved,-10.910696377544586,Improved,Improved Peace / Improved Terrorism,5303.891751445527,2.996,11.017032355765616,6398.568371784378,2.669,0.10633597822103055
Ireland,IRL,12.454399818179345,Significant Increase,-0.06699999999999995,Improved,0.0,Stable,Improved Peace / Stable Terrorism,1301.702695037621,1.423,0.0,1463.821953121622,1.356,0.0
